# 1c20322f-d0df-4058-9e3e-660454db1e3a
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.9333152; -6.5540258; 1.6842016; -0.4525800; 2.9343683; 0.8064247
0.1996669; 1.7352011; -6.5682552; 1.6050250; -0.3731492; 2.9887372; 0.7007305
0.3993339; 1.5353696; -6.5672120; 1.5237675; -0.4366635; 3.0351896; 0.6072759
0.5990008; 1.3366461; -6.5487756; 1.4309967; -0.4878221; 3.0748791; 0.2430324
0.7986678; 1.1411531; -6.5112445; 1.3302886; -0.5152697; 3.0906201; 0.7405766
0.9983347; 0.9499594; -6.4537658; 1.2275810; -0.4901157; 3.1380997; 2.3281976
1.1980017; 0.7647948; -6.3780804; 1.1417576; -0.3781937; 3.2828948; 2.6091902
1.3976686; 0.5856692; -6.2882437; 1.0719424; -0.3226705; 3.4379261; 2.5047447
1.5973356; 0.4145569; -6.1877718; 1.0078166; -0.3214724; 3.5804421; 2.4858601
1.7970025; 0.2501193; -6.0766431; 0.9460134; -0.2975452; 3.7164841; 2.5207719
1.9966694; 0.0914407; -5.9551397; 0.8897928; -0.2621507; 3.8495303; 2.5861730
2.1963364; -0.0619261; -5.8243054; 0.8402669; -0.2309685; 3.9814105; 2.7275904
2.3960033; -0.2066255; -5.6888751; 0.7976937; -0.2002946; 4.1159263; 2.8808683
2.5956703; -0.3469656; -5.5465975; 0.7603453; -0.1719180; 4.2533842; 3.0298322
2.7953372; -0.4831240; -5.3986726; 0.7285424; -0.1455374; 4.3933122; 3.2662003
2.9950042; -0.6133190; -5.2487261; 0.7023730; -0.1186305; 4.5393278; 3.4243130
3.1946711; -0.7410229; -5.0944036; 0.6810068; -0.0945902; 4.6875304; 3.6323531
3.3943381; -0.8653895; -4.9381811; 0.6644569; -0.0716394; 4.8397792; 3.8251372
3.5940050; -0.9875490; -4.7801335; 0.6522867; -0.0502537; 4.9950945; 3.9893290
3.7936719; -1.1083051; -4.6206077; 0.6442822; -0.0299607; 5.1520912; 4.1779138
3.9933389; -1.2278456; -4.4606905; 0.6401411; -0.0116804; 5.3115371; 4.2708356
4.1930058; -1.3471345; -4.3003299; 0.6395996; 0.0061438; 5.4697272; 4.2531373
4.3926728; -1.4666060; -4.1401330; 0.6425739; 0.0237287; 5.6228407; 4.1002377
4.5923397; -1.5868948; -3.9804298; 0.6491150; 0.0415649; 5.7666022; 3.9319223
4.7920067; -1.7081745; -3.8221662; 0.6592227; 0.0600999; 5.9011737; 3.4425815
4.9916736; -1.8319813; -3.6645532; 0.6730317; 0.0774693; 6.0165265; 3.2428295
5.1913406; -1.9573796; -3.5099126; 0.6902944; 0.0955312; 6.1231987; 2.5776298
5.3910075; -2.0865253; -3.3566962; 0.7109377; 0.1111092; 6.2066817; 2.1359741
5.5906744; -2.2189102; -3.2065512; 0.7347556; 0.1249712; 6.2750191; 1.7557369
5.7903414; -2.3535048; -3.0613567; 0.7607493; 0.1383653; 6.3306389; 1.0024803
5.9900083; -2.4945963; -2.9172603; 0.7891719; 0.1442284; 6.3621784; 0.6242259
6.1896753; -2.6387870; -2.7782936; 0.8185823; 0.1464133; 6.3817387; 0.2417691
6.3893422; -2.7857685; -2.6446814; 0.8473034; 0.1419905; 6.3892985; -0.0460814
6.5890092; -2.9362674; -2.5154003; 0.8745491; 0.1319980; 6.3878583; -0.4847855
6.7886761; -3.0918403; -2.3887320; 0.8998872; 0.1175014; 6.3726872; -0.8121577
6.9883431; -3.2490902; -2.2666231; 0.9197935; 0.0753207; 6.3471899; -0.9814453
7.1880100; -3.4079899; -2.1471762; 0.9321684; 0.0562070; 6.3162406; -0.8914337
7.3876769; -3.5685716; -2.0294210; 0.9447009; 0.0741286; 6.2879977; -0.7027077
7.5873439; -3.7308312; -1.9141150; 0.9622640; 0.1026725; 6.2656445; -0.5216405
7.7870108; -3.8953285; -1.8021768; 0.9851726; 0.1275818; 6.2489993; -0.4059716
7.9866778; -4.0629002; -1.6942276; 1.0124346; 0.1451438; 6.2360142; -0.3288617
8.1863447; -4.2342407; -1.5907252; 1.0427016; 0.1560846; 6.2254757; -0.2684768
8.3860117; -4.4097808; -1.4920432; 1.0748495; 0.1626979; 6.2168590; -0.1858718
8.5856786; -4.5853509; -1.4006717; 1.1070303; 0.1626596; 6.2108865; -0.1409316
8.7853455; -4.7652260; -1.3143321; 1.1395445; 0.1632145; 6.2063542; -0.1041606
8.9850125; -4.9494083; -1.2332261; 1.1724538; 0.1630291; 6.2030023; -0.0443133
9.1846794; -5.1335309; -1.1591523; 1.2038555; 0.1540333; 6.2015758; -0.1233663
9.3843464; -5.3213361; -1.0902182; 1.2338335; 0.1439224; 6.1976026; -0.2051720
9.5840133; -5.5113438; -1.0266311; 1.2615165; 0.1330385; 6.1909890; -2.1303845
9.7836803; -5.7019246; -0.9684351; 1.2869785; 0.1224946; 6.1218960; -2.4725807
9.9833472; -5.8949126; -0.9146387; 1.3106232; 0.1142063; 6.0407140; -2.5078917
10.1830142; -6.0882535; -0.8654885; 1.3329400; 0.1098167; 5.9572426; -3.3353995
10.3826811; -6.2830628; -0.8204785; 1.3540455; 0.0943955; 5.8443820; -4.3588241
10.5823480; -6.4784498; -0.7791695; 1.3698199; 0.0637097; 5.6935204; -4.7076495
10.7820150; -6.6745095; -0.7402554; 1.3781976; 0.0147439; 5.5259615; -4.7470458
10.9816819; -6.8702525; -0.7019972; 1.3754594; -0.0424360; 5.3516908; -4.2052264
11.1813489; -7.0664020; -0.6621113; 1.3638891; -0.0733196; 5.1924277; -4.0173185
11.3810158; -7.2614158; -0.6194663; 1.3461015; -0.1033813; 5.0355788; -3.7549678
11.5806828; -7.4557017; -0.5727699; 1.3228636; -0.1297455; 4.8844210; -3.5761786
11.7803497; -7.6490369; -0.5209578; 1.2941922; -0.1559207; 4.7359771; -3.4266588
11.9800167; -7.8391856; -0.4635967; 1.2604943; -0.1843245; 4.5892372; -3.2288165
12.1796836; -8.0294723; -0.3984781; 1.2207295; -0.2121783; 4.4465404; -3.0842433
12.3793505; -8.2154856; -0.3258270; 1.1751087; -0.2433045; 4.3058192; -2.9255341
12.5790175; -8.3967878; -0.2446660; 1.1235223; -0.2783029; 4.1679508; -2.7410438
12.7786844; -8.5758819; -0.1522594; 1.0644338; -0.3086647; 4.0345040; -2.5926344
12.9783514; -8.7476972; -0.0496108; 0.9990927; -0.3383142; 3.9040870; -2.4381514
13.1780183; -8.9109374; 0.0635493; 0.9292734; -0.3612227; 3.7773349; -2.2753443
13.3776853; -9.0653054; 0.1876452; 0.8582650; -0.3552205; 3.6550837; -2.0356270
13.5773522; -9.2119360; 0.3231734; 0.7939568; -0.2716861; 3.5421381; -1.7048660
13.7770192; -9.3517617; 0.4669258; 0.7556219; -0.0990674; 3.4446961; -1.4020600
13.9766861; -9.4857975; 0.6109749; 0.7418767; -0.1563204; 3.3624457; -1.2399113
14.1763530; -9.6165306; 0.7605846; 0.6861638; -0.3864056; 3.2879937; -0.9062481
14.3760200; -9.7363132; 0.9201620; 0.5979430; -0.4910734; 3.2324924; -0.3182957
14.5756869; -9.8398756; 1.0900542; 0.4957114; -0.5309833; 3.2127715; -0.1452866
14.7753539; -9.9253375; 1.2706925; 0.3881179; -0.5347082; 3.2037296; -0.1059760
14.9750208; -9.9912982; 1.4606017; 0.2804741; -0.5302363; 3.1971180; -0.0827712
15.1746878; -10.0365641; 1.6557350; 0.1757977; -0.5184381; 3.1919445; -0.0625600
15.3743547; -10.0613023; 1.8528971; 0.0745661; -0.4993544; 3.1880288; -0.0422388
15.5740217; -10.0662922; 2.0531219; -0.0242981; -0.4847563; 3.1853823; -0.0115784
15.7736886; -10.0518769; 2.2525485; -0.1195049; -0.4692831; 3.1846564; 0.0490556
15.9733555; -10.0190006; 2.4490098; -0.2115563; -0.4540174; 3.1877306; 0.1152174
16.1730225; -9.9681630; 2.6427157; -0.3014083; -0.4416399; 3.1949392; 0.3358803
16.3726894; -9.9007860; 2.8303478; -0.3874708; -0.4229178; 3.2158614; 0.4600546
16.5723564; -9.8176336; 3.0120128; -0.4704926; -0.4065388; 3.2442996; 0.5665982
16.7720233; -9.7199466; 3.1864008; -0.5502931; -0.3930067; 3.2789849; 0.6886151
16.9716903; -9.6089997; 3.3524199; -0.6275131; -0.3807062; 3.3206519; 0.7373914
17.1713572; -9.4856695; 3.5096044; -0.7028409; -0.3729191; 3.3646983; 0.8394177
17.3710242; -9.3509726; 3.6571820; -0.7765100; -0.3655647; 3.4141474; 0.9201375
17.5706911; -9.2056699; 3.7946853; -0.8492312; -0.3599183; 3.4675416; 0.9916703
17.7703580; -9.0516172; 3.9207674; -0.9205229; -0.3576405; 3.5241811; 1.1351766
17.9700250; -8.8874721; 4.0366062; -0.9917409; -0.3516273; 3.5879196; 1.2153881
18.1696919; -8.7167183; 4.1398841; -1.0618802; -0.3490776; 3.6549299; 1.3407057
18.3693589; -8.5394529; 4.2309051; -1.1308250; -0.3445695; 3.7274524; 1.4861559
18.5690258; -8.3541928; 4.3104017; -1.1998830; -0.3403082; 3.8062283; 1.6029656
18.7686928; -8.1657916; 4.3763728; -1.2681696; -0.3418027; 3.8894077; 1.7394452
18.9683597; -7.9751764; 4.4289442; -1.3348319; -0.3292268; 3.9777019; 1.8799764
19.1680267; -7.7804927; 4.4694073; -1.3945761; -0.2580979; 4.0709766; 1.9427960
19.3676936; -7.5829528; 4.4996285; -1.4418566; -0.2090026; 4.1651740; 2.0280818
19.5673605; -7.3848396; 4.5214588; -1.4784501; -0.1526825; 4.2612858; 2.1340277
19.7670275; -7.1859950; 4.5370314; -1.5057543; -0.1199716; 4.3601314; 2.2479506
19.9666944; -6.9869720; 4.5476237; -1.5292877; -0.1161689; 4.4618862; 2.3589721
20.1663614; -6.7877605; 4.5534995; -1.5536617; -0.1282948; 4.5662289; 2.4626362
20.3660283; -6.5880634; 4.5542273; -1.5811583; -0.1441416; 4.6726717; 2.5543116
20.5656953; -6.3878002; 4.5492122; -1.6106649; -0.1488910; 4.7805736; 2.6401496
20.7653622; -6.1899662; 4.5382196; -1.6426800; -0.1711000; 4.8895997; 2.6993076
20.9650292; -5.9924445; 4.5205911; -1.6769022; -0.1712754; 4.9986108; 2.7477723
21.1646961; -5.7939068; 4.4960382; -1.7104608; -0.1618262; 5.1071899; 2.7933709
21.3643630; -5.5942918; 4.4647181; -1.7420734; -0.1519805; 5.2152542; 2.8233944
21.5640300; -5.3999795; 4.4281645; -1.7710949; -0.1424279; 5.3222508; 2.8631969
21.7636969; -5.2043337; 4.3855792; -1.7988449; -0.1334054; 5.4286025; 2.9001485
21.9633639; -5.0095459; 4.3376857; -1.8246329; -0.1243825; 5.5342436; 2.9189147
22.1630308; -4.8174982; 4.2853820; -1.8484047; -0.1143009; 5.6385702; 2.9589796
22.3626978; -4.6251720; 4.2282436; -1.8704869; -0.1057703; 5.7423945; 2.9713155
22.5623647; -4.4353074; 4.1674441; -1.8906150; -0.0965341; 5.8447961; 3.0012744
22.7620317; -4.2459524; 4.1027512; -1.9091397; -0.0883777; 5.9464403; 3.0224810
22.9616986; -4.0581050; 4.0348410; -1.9259915; -0.0805947; 6.0470763; 3.0358026
23.1613655; -3.8710406; 3.9637901; -1.9412630; -0.0713791; 6.1464974; 3.0680545
23.3610325; -3.6857545; 3.8903730; -1.9545305; -0.0618798; 6.2453669; 3.0658671
23.5606994; -3.5003845; 3.8142319; -1.9663645; -0.0563760; 6.3426267; 3.0945894
23.7603664; -3.3169183; 3.7364450; -1.9771147; -0.0531499; 6.4393080; 3.0913701
23.9600333; -3.1337757; 3.6564661; -1.9880707; -0.0564755; 6.5344607; 3.0847306
24.1597003; -2.9516394; 3.5744751; -1.9995048; -0.0567639; 6.6280475; 3.0891456
24.3593672; -2.7709863; 3.4906820; -2.0106234; -0.0549054; 6.7204623; 3.0262831
24.5590341; -2.5902534; 3.4044140; -2.0216885; -0.0557969; 6.8097806; 3.0131717
24.7587011; -2.4112749; 3.3165202; -2.0329211; -0.0568254; 6.8975628; 2.9515230
24.9583680; -2.2330981; 3.2264990; -2.0443563; -0.0577473; 6.9824792; 2.8584123
25.1580350; -2.0556812; 3.1342747; -2.0560398; -0.0592721; 7.0637438; 2.8059459
25.3577019; -1.8800132; 3.0403031; -2.0680245; -0.0610945; 7.1426176; 2.6558146
25.5573689; -1.7049197; 2.9438734; -2.0804507; -0.0632400; 7.2164772; 2.5212296
25.7570358; -1.5311439; 2.8452861; -2.0933159; -0.0656229; 7.2859012; 2.4137584
25.9567028; -1.3591554; 2.7447138; -2.1066387; -0.0681285; 7.3517516; 2.1832480
26.1563697; -1.1879978; 2.6414788; -2.1205164; -0.0707136; 7.4108094; 1.9972758
26.3560366; -1.0184348; 2.5359103; -2.1348890; -0.0731674; 7.4644274; 1.8420326
26.5557036; -0.8507435; 2.4280791; -2.1497019; -0.0753582; 7.5135386; 1.6006623
26.7553705; -0.6844227; 2.3175616; -2.1649285; -0.0770773; 7.5559553; 1.3959034
26.9550375; -0.5198088; 2.2044902; -2.1804436; -0.0781666; 7.5927526; 1.2600668
27.1547044; -0.3571460; 2.0889852; -2.1960904; -0.0784908; 7.6258167; 1.1145659
27.3543714; -0.1962292; 1.9708896; -2.2117058; -0.0778654; 7.6549437; 1.0011314
27.5540383; -0.0371804; 1.8503202; -2.2271312; -0.0765880; 7.6810123; 0.8484078
27.7537053; 0.1199694; 1.7273683; -2.2421818; -0.0736848; 7.7030349; 0.4663304
27.9533722; 0.2755032; 1.6019532; -2.2564684; -0.0693532; 7.7151130; -3.4844814
28.1530391; 0.4289451; 1.4746679; -2.2700078; -0.0663288; 7.6244014; -3.3192431
28.3527061; 0.5807595; 1.3452938; -2.2831431; -0.0670099; 7.5369763; -3.1888205
28.5523730; 0.7311570; 1.2136107; -2.2968354; -0.0685550; 7.4520203; -3.0689693
28.7520400; 0.8792943; 1.0803457; -2.3096625; -0.0599111; 7.3693326; -3.0110779
28.9517069; 1.0254317; 0.9456650; -2.3211584; -0.0583795; 7.2872929; -2.9686394
29.1513739; 1.1714917; 0.8078757; -2.3330133; -0.0604167; 7.2054951; -2.9558534
29.3510408; 1.3143137; 0.6697917; -2.3459521; -0.0697123; 7.1231164; -2.9747533
29.5507078; 1.4561138; 0.5288382; -2.3606764; -0.0765387; 7.0392377; -2.9906132
29.7503747; 1.5960515; 0.3854116; -2.3764977; -0.0813922; 6.9538920; -3.0912995
29.9500416; 1.7327271; 0.2406959; -2.3931824; -0.0862754; 6.8645578; -3.0984216
30.1497086; 1.8679764; 0.0924482; -2.4110195; -0.0915147; 6.7738356; -3.2481920
30.3493755; 1.9994408; -0.0570502; -2.4297374; -0.0966509; 6.6774049; -3.2714626
30.5490425; 2.1286947; -0.2098870; -2.4496517; -0.1021544; 6.5788548; -3.3785381
30.7487094; 2.2544656; -0.3649181; -2.4705752; -0.1076554; 6.4755050; -3.4349448
30.9483764; 2.3770857; -0.5228968; -2.4927053; -0.1133875; 6.3687106; -3.4832632
31.1480433; 2.4959221; -0.6833860; -2.5159499; -0.1196886; 6.2585534; -3.5534150
31.3477103; 2.6111483; -0.8470469; -2.5405493; -0.1258578; 6.1441428; -3.5428596
31.5473772; 2.7217006; -1.0127774; -2.5663363; -0.1334263; 6.0279107; -3.6116838
31.7470441; 2.8286107; -1.1826792; -2.5937658; -0.1400106; 5.9070669; -3.5702670
31.9467111; 2.9298441; -1.3540355; -2.6224990; -0.1485288; 5.7851284; -3.5941516
32.1463780; 3.0267730; -1.5297983; -2.6529804; -0.1558894; 5.6597212; -3.5569400
32.3460450; 3.1178427; -1.7078939; -2.6851029; -0.1639880; 5.5328146; -3.5238279
32.5457119; 3.2023881; -1.8874916; -2.7184194; -0.1726355; 5.4041515; -3.4969637
32.7453789; 3.2820255; -2.0729856; -2.7538537; -0.1779067; 5.2733668; -3.4358115
32.9450458; 3.3540716; -2.2588646; -2.7899815; -0.1827445; 5.1416303; -3.3751223
33.1447128; 3.4185594; -2.4449312; -2.8259394; -0.1825216; 5.0088483; -3.2995040
33.3443797; 3.4776912; -2.6378121; -2.8619741; -0.1727642; 4.8755469; -3.1912844
33.5440466; 3.5297004; -2.8310229; -2.8945189; -0.1478238; 4.7430549; -3.0432026
33.7437136; 3.5757346; -3.0245541; -2.9208653; -0.1204432; 4.6131676; -2.8453485
33.9433805; 3.6168975; -3.2184582; -2.9441396; -0.1186802; 4.4883261; -2.5467434
34.1430475; 3.6531953; -3.4138628; -2.9737413; -0.1751066; 4.3735650; -2.1584748
34.3427144; 3.6824852; -3.6107741; -3.0162032; -0.2404235; 4.2738880; -1.8568077
34.5423814; 3.7024336; -3.8099214; -3.0686598; -0.2805500; 4.1862432; -1.6251557
34.7420483; 3.7112484; -4.0094957; -3.1269652; -0.3021546; 4.1079986; -1.4615552
34.9417153; 3.7081321; -4.2081883; 3.0953220; -0.3112803; 4.0363354; -1.4065075
35.1413822; 3.6926567; -4.4071392; 3.0324715; -0.3167788; 3.9661490; -1.4087215
35.3410491; 3.6645054; -4.6053620; 2.9683820; -0.3216932; 3.8945844; -1.4419516
35.5407161; 3.6235861; -4.8015618; 2.9033412; -0.3282240; 3.8199434; -1.5526665
35.7403830; 3.5701981; -4.9936515; 2.8374631; -0.3342035; 3.7379051; -1.6516861
35.9400500; 3.5039397; -5.1822314; 2.7696760; -0.3435283; 3.6486108; -1.7400597
36.1397169; 3.4248488; -5.3658472; 2.6995692; -0.3575541; 3.5521115; -1.8567226
36.3393839; 3.3330161; -5.5430049; 2.6265224; -0.3764172; 3.4461636; -2.0528609
36.5390508; 3.2277887; -5.7133232; 2.5491265; -0.3978599; 3.3250965; -2.1619615
36.7387178; 3.1094176; -5.8745642; 2.4665436; -0.4277423; 3.1926356; -2.2623072
36.9383847; 2.9781487; -6.0245415; 2.3773178; -0.4661002; 3.0478691; -2.3738470
37.1380516; 2.8336632; -6.1616077; 2.2811206; -0.5042367; 2.8881739; -2.4863758
37.3377186; 2.6747713; -6.2841782; 2.1714061; -0.5990030; 2.7108402; 0.0750456
37.5373855; 2.5026739; -6.3867986; 2.0443524; -0.6481336; 2.7163621; 1.0774063
37.7370525; 2.3189932; -6.4661649; 1.9135824; -0.6334061; 2.7944351; 1.0490281
37.9367194; 2.1272465; -6.5215866; 1.7923027; -0.5841378; 2.8684107; 0.9584395
38.1363864; 1.9333152; -6.5540258; 1.6842016; -0.4525800; 2.9343683; 0.8064247
